|   in   | sel  | out |
|  0000  |  00  |  0  |
|  0000  |  01  |  0  |
|  0000  |  10  |  0  |
|  0000  |  11  |  0  |
|  0001  |  00  |  1  |
|  0001  |  01  |  0  |
|  0001  |  10  |  0  |
|  0001  |  11  |  0  |
|  0010  |  00  |  0  |
|  0010  |  01  |  1  |
|  0010  |  10  |  0  |
|  0010  |  11  |  0  |
|  0011  |  00  |  1  |
|  0011  |  01  |  1  |
|  0011  |  10  |  0  |
|  0011  |  11  |  0  |
|  0100  |  00  |  0  |
|  0100  |  01  |  0  |
|  0100  |  10  |  1  |
|  0100  |  11  |  0  |
|  0101  |  00  |  1  |
|  0101  |  01  |  0  |
|  0101  |  10  |  1  |
